timestamp,script,total_actions,converted,conversion_rate,avg_follow_days
2026-07-05T00:44:02.181057,fan_hunter,3672,0,0.0000,0.0
2026-07-05T00:44:02.181057,dm_monitor,1,0,0.0000,0.0
2026-07-05T00:44:02.181057,reply_v17,61,0,0.0000,0.0
2026-07-05T02:44:02.520115,fan_hunter,3673,0,0.0000,0.0
2026-07-05T02:44:02.520115,dm_monitor,1,0,0.0000,0.0
2026-07-05T02:44:02.520115,reply_v17,61,0,0.0000,0.0
2026-07-05T04:44:02.806051,fan_hunter,3673,0,0.0000,0.0
2026-07-05T04:44:02.806051,dm_monitor,1,0,0.0000,0.0
2026-07-05T04:44:02.806051,reply_v17,61,0,0.0000,0.0
2026-07-05T06:44:02.930284,fan_hunter,3674,0,0.0000,0.0
2026-07-05T06:44:02.930284,dm_monitor,1,0,0.0000,0.0
2026-07-05T06:44:02.930284,reply_v17,61,0,0.0000,0.0
2026-07-05T08:44:03.383360,fan_hunter,3675,0,0.0000,0.0
2026-07-05T08:44:03.383360,dm_monitor,1,0,0.0000,0.0
2026-07-05T08:44:03.383360,reply_v17,61,0,0.0000,0.0
2026-07-05T10:44:03.715787,fan_hunter,3675,0,0.0000,0.0
2026-07-05T10:44:03.715787,dm_monitor,1,0,0.0000,0.0
2026-07-05T10:44:03.715787,reply_v17,61,0,0.0000,0.0
2026-07-05T12:44:04.025938,fan_hunter,3676,0,0.0000,0.0
2026-07-05T12:44:04.025938,dm_monitor,1,0,0.0000,0.0
2026-07-05T12:44:04.025938,reply_v17,61,0,0.0000,0.0
2026-07-05T14:44:04.544346,fan_hunter,3693,0,0.0000,0.0
2026-07-05T14:44:04.544346,dm_monitor,1,0,0.0000,0.0
2026-07-05T14:44:04.544346,reply_v17,61,0,0.0000,0.0
2026-07-05T16:44:04.865752,fan_hunter,3693,0,0.0000,0.0
2026-07-05T16:44:04.865752,dm_monitor,1,0,0.0000,0.0
2026-07-05T16:44:04.865752,reply_v17,61,0,0.0000,0.0
2026-07-05T18:44:05.110953,fan_hunter,3731,0,0.0000,0.0
2026-07-05T18:44:05.110953,dm_monitor,1,0,0.0000,0.0
2026-07-05T18:44:05.110953,reply_v17,61,0,0.0000,0.0
2026-07-05T20:44:05.574614,fan_hunter,3734,0,0.0000,0.0
2026-07-05T20:44:05.574614,dm_monitor,1,0,0.0000,0.0
2026-07-05T20:44:05.574614,reply_v17,61,0,0.0000,0.0
2026-07-05T22:44:05.806139,fan_hunter,3735,0,0.0000,0.0
2026-07-05T22:44:05.806139,dm_monitor,1,0,0.0000,0.0
2026-07-05T22:44:05.806139,reply_v17,61,0,0.0000,0.0
2026-07-05T23:27:04.675559,fan_hunter,3735,0,0.0000,0.0
2026-07-05T23:27:04.675559,dm_monitor,1,0,0.0000,0.0
2026-07-05T23:27:04.675559,reply_v17,61,0,0.0000,0.0
