timestamp,script,total_actions,converted,conversion_rate,avg_follow_days
2026-07-02T00:43:47.756486,fan_hunter,3455,0,0.0000,0.0
2026-07-02T00:43:47.756486,dm_monitor,1,0,0.0000,0.0
2026-07-02T00:43:47.756486,reply_v17,61,0,0.0000,0.0
2026-07-02T02:43:48.184063,fan_hunter,3459,0,0.0000,0.0
2026-07-02T02:43:48.184063,dm_monitor,1,0,0.0000,0.0
2026-07-02T02:43:48.184063,reply_v17,61,0,0.0000,0.0
2026-07-02T04:43:48.573000,fan_hunter,3459,0,0.0000,0.0
2026-07-02T04:43:48.573000,dm_monitor,1,0,0.0000,0.0
2026-07-02T04:43:48.573000,reply_v17,61,0,0.0000,0.0
2026-07-02T06:43:48.854879,fan_hunter,3459,0,0.0000,0.0
2026-07-02T06:43:48.854879,dm_monitor,1,0,0.0000,0.0
2026-07-02T06:43:48.854879,reply_v17,61,0,0.0000,0.0
2026-07-02T08:43:49.195636,fan_hunter,3483,0,0.0000,0.0
2026-07-02T08:43:49.195636,dm_monitor,1,0,0.0000,0.0
2026-07-02T08:43:49.195636,reply_v17,61,0,0.0000,0.0
2026-07-02T10:43:49.375562,fan_hunter,3483,0,0.0000,0.0
2026-07-02T10:43:49.375562,dm_monitor,1,0,0.0000,0.0
2026-07-02T10:43:49.375562,reply_v17,61,0,0.0000,0.0
2026-07-02T12:43:49.582985,fan_hunter,3496,0,0.0000,0.0
2026-07-02T12:43:49.582985,dm_monitor,1,0,0.0000,0.0
2026-07-02T12:43:49.582985,reply_v17,61,0,0.0000,0.0
2026-07-02T14:43:49.915814,fan_hunter,3503,0,0.0000,0.0
2026-07-02T14:43:49.915814,dm_monitor,1,0,0.0000,0.0
2026-07-02T14:43:49.915814,reply_v17,61,0,0.0000,0.0
2026-07-02T16:43:50.158254,fan_hunter,3507,0,0.0000,0.0
2026-07-02T16:43:50.158254,dm_monitor,1,0,0.0000,0.0
2026-07-02T16:43:50.158254,reply_v17,61,0,0.0000,0.0
2026-07-02T18:43:50.579677,fan_hunter,3509,0,0.0000,0.0
2026-07-02T18:43:50.579677,dm_monitor,1,0,0.0000,0.0
2026-07-02T18:43:50.579677,reply_v17,61,0,0.0000,0.0
2026-07-02T20:43:50.813703,fan_hunter,3515,0,0.0000,0.0
2026-07-02T20:43:50.813703,dm_monitor,1,0,0.0000,0.0
2026-07-02T20:43:50.813703,reply_v17,61,0,0.0000,0.0
2026-07-02T22:43:51.227390,fan_hunter,3520,0,0.0000,0.0
2026-07-02T22:43:51.227390,dm_monitor,1,0,0.0000,0.0
2026-07-02T22:43:51.227390,reply_v17,61,0,0.0000,0.0
